num,text,timestamp,label,clean_text,tokens,processed_tokens,processed_text,sentiment_polarity
0,RT @uberdogfound: Please RT - Food needed for shelter in NC in area that was hit hard by tornado. Please contact us at…,1970-01-01 00:00:00.000040657,1,rt  please rt  food needed for shelter in nc in area that was hit hard by tornado please contact us at,"['rt', 'please', 'rt', 'food', 'needed', 'for', 'shelter', 'in', 'nc', 'in', 'area', 'that', 'was', 'hit', 'hard', 'by', 'tornado', 'please', 'contact', 'us', 'at']","['rt', 'pleas', 'rt', 'food', 'need', 'shelter', 'nc', 'area', 'hit', 'hard', 'tornado', 'pleas', 'contact', 'us']",rt pleas rt food need shelter nc area hit hard tornado pleas contact us,-0.2916666666666667
1,Please RT - Food needed for shelter in NC in area that was hit hard by tornado.  Please contact us at info@uberdogfoundation.org to help!,1970-01-01 00:00:00.000040657,1,please rt  food needed for shelter in nc in area that was hit hard by tornado  please contact us at infoorg to help,"['please', 'rt', 'food', 'needed', 'for', 'shelter', 'in', 'nc', 'in', 'area', 'that', 'was', 'hit', 'hard', 'by', 'tornado', 'please', 'contact', 'us', 'at', 'infoorg', 'to', 'help']","['pleas', 'rt', 'food', 'need', 'shelter', 'nc', 'area', 'hit', 'hard', 'tornado', 'pleas', 'contact', 'us', 'infoorg', 'help']",pleas rt food need shelter nc area hit hard tornado pleas contact us infoorg help,-0.2916666666666667
3,‚ô°its raining and tornado warnings....about to be in a coma from eating all this food in a few!!!‚òª‚òª,1970-01-01 00:00:00.000040657,1,its raining and tornado warnings about to be in a coma from eating all this food in a few,"['its', 'raining', 'and', 'tornado', 'warnings', 'about', 'to', 'be', 'in', 'a', 'coma', 'from', 'eating', 'all', 'this', 'food', 'in', 'a', 'few']","['rain', 'tornado', 'warn', 'coma', 'eat', 'food']",rain tornado warn coma eat food,-0.1
9,Lmao #damn RT @LuCeCaNNoNn: If I don't get any food I hope the tornado blow all yall food out yall mouth #SoIDC,1970-01-01 00:00:00.000040657,1,lmao  rt  if i dont get any food i hope the tornado blow all yall food out yall mouth,"['lmao', 'rt', 'if', 'i', 'dont', 'get', 'any', 'food', 'i', 'hope', 'the', 'tornado', 'blow', 'all', 'yall', 'food', 'out', 'yall', 'mouth']","['lmao', 'rt', 'dont', 'get', 'food', 'hope', 'tornado', 'blow', 'yall', 'food', 'yall', 'mouth']",lmao rt dont get food hope tornado blow yall food yall mouth,0.6
10,Saved by the tornado warning....I'm just ready to eat this good food,1970-01-01 00:00:00.000040657,0,saved by the tornado warning im just ready to eat this good food,"['saved', 'by', 'the', 'tornado', 'warning', 'im', 'just', 'ready', 'to', 'eat', 'this', 'good', 'food']","['save', 'tornado', 'warn', 'im', 'readi', 'eat', 'good', 'food']",save tornado warn im readi eat good food,0.7
12,uh...no more food please Mr. @mlp_spike ..my tummy already hurts from too much candy *his face is a bit green*,1970-01-01 00:00:00.000040657,1,uh no more food please mr   my tummy already hurts from too much candy his face is a bit green,"['uh', 'no', 'more', 'food', 'please', 'mr', 'my', 'tummy', 'already', 'hurts', 'from', 'too', 'much', 'candy', 'his', 'face', 'is', 'a', 'bit', 'green']","['uh', 'food', 'pleas', 'mr', 'tummi', 'alreadi', 'hurt', 'much', 'candi', 'face', 'bit', 'green']",uh food pleas mr tummi alreadi hurt much candi face bit green,0.0
14,We'll be accepting donations of food to be distributed to tornado victims in the eastern part of the state at today's @wsdashbaseball game!,1970-01-01 00:00:00.000040657,0,well be accepting donations of food to be distributed to tornado victims in the eastern part of the state at todays  game,"['well', 'be', 'accepting', 'donations', 'of', 'food', 'to', 'be', 'distributed', 'to', 'tornado', 'victims', 'in', 'the', 'eastern', 'part', 'of', 'the', 'state', 'at', 'todays', 'game']","['well', 'accept', 'donat', 'food', 'distribut', 'tornado', 'victim', 'eastern', 'part', 'state', 'today', 'game']",well accept donat food distribut tornado victim eastern part state today game,-0.23750000000000002
15,"Go, See, Do: At the game, Lowes Foods will be accepting donations of food to be distributed to tornado victims i... http://bit.ly/gSosPk",1970-01-01 00:00:00.000040657,0,go see do at the game lowes foods will be accepting donations of food to be distributed to tornado victims i,"['go', 'see', 'do', 'at', 'the', 'game', 'lowes', 'foods', 'will', 'be', 'accepting', 'donations', 'of', 'food', 'to', 'be', 'distributed', 'to', 'tornado', 'victims', 'i']","['go', 'see', 'game', 'low', 'food', 'accept', 'donat', 'food', 'distribut', 'tornado', 'victim']",go see game low food accept donat food distribut tornado victim,-0.15833333333333335
16,"Tornado steals fast food: 
									
									Took his burger, fries AND drink? Oh, no, it didn't!
									Tags... http://bit.ly/h4FnGU",1970-01-01 00:00:00.000040657,1,"tornado steals fast food 
									
									took his burger fries and drink oh no it didnt
									tags","['tornado', 'steals', 'fast', 'food', 'took', 'his', 'burger', 'fries', 'and', 'drink', 'oh', 'no', 'it', 'didnt', 'tags']","['tornado', 'steal', 'fast', 'food', 'took', 'burger', 'fri', 'drink', 'oh', 'didnt', 'tag']",tornado steal fast food took burger fri drink oh didnt tag,0.2
17,Raleigh neighbors reach out to tornado victims: A Raleigh neighborhood put together a spontaneous food and cloth... http://bit.ly/dYnaOc,1970-01-01 00:00:00.000040657,0,raleigh neighbors reach out to tornado victims a raleigh neighborhood put together a spontaneous food and cloth,"['raleigh', 'neighbors', 'reach', 'out', 'to', 'tornado', 'victims', 'a', 'raleigh', 'neighborhood', 'put', 'together', 'a', 'spontaneous', 'food', 'and', 'cloth']","['raleigh', 'neighbor', 'reach', 'tornado', 'victim', 'raleigh', 'neighborhood', 'put', 'togeth', 'spontan', 'food', 'cloth']",raleigh neighbor reach tornado victim raleigh neighborhood put togeth spontan food cloth,-0.07500000000000001
