num,text,timestamp,label,clean_text,tokens,processed_tokens,processed_text,sentiment_polarity
2,"It's Ok, Manchester's off flood alert. Fat chops has just walked in the Rovers. His equally repulsive Mam said 'let's get some food in you'.",1970-01-01 00:00:00.000041525,0,its ok manchesters off flood alert fat chops has just walked in the rovers his equally repulsive mam said lets get some food in you,"['its', 'ok', 'manchesters', 'off', 'flood', 'alert', 'fat', 'chops', 'has', 'just', 'walked', 'in', 'the', 'rovers', 'his', 'equally', 'repulsive', 'mam', 'said', 'lets', 'get', 'some', 'food', 'in', 'you']","['ok', 'manchest', 'flood', 'alert', 'fat', 'chop', 'walk', 'rover', 'equal', 'repuls', 'mam', 'said', 'let', 'get', 'food']",ok manchest flood alert fat chop walk rover equal repuls mam said let get food,0.25
3,"Love how you ask for a tiny bit of sauce, and the idiots flood your food with sauce.",1970-01-01 00:00:00.000041525,0,love how you ask for a tiny bit of sauce and the idiots flood your food with sauce,"['love', 'how', 'you', 'ask', 'for', 'a', 'tiny', 'bit', 'of', 'sauce', 'and', 'the', 'idiots', 'flood', 'your', 'food', 'with', 'sauce']","['love', 'ask', 'tini', 'bit', 'sauc', 'idiot', 'flood', 'food', 'sauc']",love ask tini bit sauc idiot flood food sauc,-0.15000000000000002
4,Dif tailgate!! Morning games and good food. Im bout to flood y'all feed. It's gameday baby!!! Lets go… http://instagram.com/p/eAcjsuuKSl/ ,1970-01-01 00:00:00.000041525,0,dif tailgate morning games and good food im bout to flood yall feed its gameday baby lets go,"['dif', 'tailgate', 'morning', 'games', 'and', 'good', 'food', 'im', 'bout', 'to', 'flood', 'yall', 'feed', 'its', 'gameday', 'baby', 'lets', 'go']","['dif', 'tailgat', 'morn', 'game', 'good', 'food', 'im', 'bout', 'flood', 'yall', 'feed', 'gameday', 'babi', 'let', 'go']",dif tailgat morn game good food im bout flood yall feed gameday babi let go,0.14999999999999997
8,"As much food as I've eaten today, I'm going to need my house to flood again so I can float over to the fridge to get more hummus.",1970-01-01 00:00:00.000041525,0,as much food as ive eaten today im going to need my house to flood again so i can float over to the fridge to get more hummus,"['as', 'much', 'food', 'as', 'ive', 'eaten', 'today', 'im', 'going', 'to', 'need', 'my', 'house', 'to', 'flood', 'again', 'so', 'i', 'can', 'float', 'over', 'to', 'the', 'fridge', 'to', 'get', 'more', 'hummus']","['much', 'food', 'ive', 'eaten', 'today', 'im', 'go', 'need', 'hous', 'flood', 'float', 'fridg', 'get', 'hummu']",much food ive eaten today im go need hous flood float fridg get hummu,0.2
11,“@____Reece: Can't wait for the 'I'm hanging' and 'need food' tweets to flood my twitter” 'someone bring me a maccies and I will love you',1970-01-01 00:00:00.000041525,0,cant wait for the im hanging and need food tweets to flood my twitter someone bring me a maccies and i will love you,"['cant', 'wait', 'for', 'the', 'im', 'hanging', 'and', 'need', 'food', 'tweets', 'to', 'flood', 'my', 'twitter', 'someone', 'bring', 'me', 'a', 'maccies', 'and', 'i', 'will', 'love', 'you']","['cant', 'wait', 'im', 'hang', 'need', 'food', 'tweet', 'flood', 'twitter', 'someon', 'bring', 'macci', 'love']",cant wait im hang need food tweet flood twitter someon bring macci love,0.5
12,"@PointlessBlog oh my food, I would littelary die if you DM'ed me, okay maybe not but I would cry a flood...",1970-01-01 00:00:00.000041524,1,oh my food i would littelary die if you dmed me okay maybe not but i would cry a flood,"['oh', 'my', 'food', 'i', 'would', 'littelary', 'die', 'if', 'you', 'dmed', 'me', 'okay', 'maybe', 'not', 'but', 'i', 'would', 'cry', 'a', 'flood']","['oh', 'food', 'would', 'littelari', 'die', 'dmed', 'okay', 'mayb', 'would', 'cri', 'flood']",oh food would littelari die dmed okay mayb would cri flood,0.5
14,Ok well it looks as though we have some flood warnings I'm going to get some food And see what's up!,1970-01-01 00:00:00.000041524,0,ok well it looks as though we have some flood warnings im going to get some food and see whats up,"['ok', 'well', 'it', 'looks', 'as', 'though', 'we', 'have', 'some', 'flood', 'warnings', 'im', 'going', 'to', 'get', 'some', 'food', 'and', 'see', 'whats', 'up']","['ok', 'well', 'look', 'though', 'flood', 'warn', 'im', 'go', 'get', 'food', 'see', 'what']",ok well look though flood warn im go get food see what,0.5
16,"=@VirtualEnaj devastated by flash floods.. need donations of towels, cleaning materials, straw, hay, small animal food etc.",1970-01-01 00:00:00.000041524,1,devastated by flash floods  need donations of towels cleaning materials straw hay small animal food etc,"['devastated', 'by', 'flash', 'floods', 'need', 'donations', 'of', 'towels', 'cleaning', 'materials', 'straw', 'hay', 'small', 'animal', 'food', 'etc']","['devast', 'flash', 'flood', 'need', 'donat', 'towel', 'clean', 'materi', 'straw', 'hay', 'small', 'anim', 'food', 'etc']",devast flash flood need donat towel clean materi straw hay small anim food etc,0.05833333333333335
17,"Thank god I have Tabasco to flood this bologanese with, the single most boring food ever",1970-01-01 00:00:00.000041524,0,thank god i have tabasco to flood this bologanese with the single most boring food ever,"['thank', 'god', 'i', 'have', 'tabasco', 'to', 'flood', 'this', 'bologanese', 'with', 'the', 'single', 'most', 'boring', 'food', 'ever']","['thank', 'god', 'tabasco', 'flood', 'bologanes', 'singl', 'bore', 'food', 'ever']",thank god tabasco flood bologanes singl bore food ever,0.0
18,Michelle Flood working hard to bring your fur kids real food. http://fb.me/2BtR16FcO ,1970-01-01 00:00:00.000041524,0,michelle flood working hard to bring your fur kids real food,"['michelle', 'flood', 'working', 'hard', 'to', 'bring', 'your', 'fur', 'kids', 'real', 'food']","['michel', 'flood', 'work', 'hard', 'bring', 'fur', 'kid', 'real', 'food']",michel flood work hard bring fur kid real food,-0.04583333333333334
